Date,Weight Class,Method,Round,Time,Fighter 1 Name,Fighter 1 Result,Fighter 1 KD,Fighter 1 SIG STR,Fighter 1 TD,Fighter 1 SUB ATT,Fighter 1 REV,Fighter 1 Ctrl,Fighter 1 Distance,Fighter 1 Clinch,Fighter 1 Ground,Fighter 2 Name,Fighter 2 Result,Fighter 2 KD,Fighter 2 SIG STR,Fighter 2 TD,Fighter 2 SUB ATT,Fighter 2 REV,Fighter 2 Ctrl,Fighter 2 Distance,Fighter 2 Clinch,Fighter 2 Ground
"July 22, 2023",Women's Strawweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Shauna Bannon,L,0,54 of 144,0 of 2,0,0,1:05,51 of 139,3 of 5,0 of 0,Bruna Brasil,W,0,56 of 90,2 of 3,0,0,3:21,39 of 72,12 of 13,5 of 5
"July 22, 2023",Flyweight Bout,Method:Submission,Round:1,Time:3:26,Jafel Filho,W,0,21 of 54,1 of 4,1,0,0:55,21 of 54,0 of 0,0 of 0,Daniel Barez,L,1,18 of 30,0 of 0,0,0,0:12,18 of 27,0 of 1,0 of 2
"July 15, 2023",Women's Bantamweight Bout,Method:Submission,Round:2,Time:0:38,Holly Holm,L,0,27 of 39,0 of 1,0,0,3:05,21 of 31,6 of 8,0 of 0,Mayra Bueno Silva,W,0,20 of 37,0 of 0,1,0,0:00,13 of 28,7 of 9,0 of 0
"July 15, 2023",Welterweight Bout,Method:Decision - Split,Round:3,Time:5:00,Jack Della Maddalena,W,0,83 of 137,1 of 2,0,0,1:19,68 of 119,14 of 17,1 of 1,Bassil Hafez,L,0,32 of 124,3 of 20,0,1,6:48,28 of 118,4 of 6,0 of 0
"July 15, 2023",Lightweight Bout,Method:KO/TKO,Round:1,Time:4:05,Ottman Azaitar,L,0,14 of 33,0 of 0,0,0,0:00,12 of 28,2 of 5,0 of 0,Francisco Prado,W,1,38 of 57,0 of 3,0,0,0:49,17 of 30,1 of 1,20 of 26
"July 15, 2023",Middleweight Bout,Method:Submission,Round:2,Time:4:45,Albert Duraev,L,0,31 of 77,1 of 2,0,0,1:14,31 of 76,0 of 1,0 of 0,JunYong Park,W,1,50 of 96,0 of 1,3,0,1:59,47 of 93,2 of 2,1 of 1
"July 15, 2023",Women's Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Norma Dumont,W,0,47 of 76,3 of 3,0,0,8:58,28 of 49,10 of 12,9 of 15,Chelsea Chandler,L,0,22 of 61,1 of 3,0,0,2:30,13 of 44,9 of 17,0 of 0
"July 15, 2023",Lightweight Bout,Method:Submission,Round:2,Time:1:07,Nazim Sadykhov,W,0,8 of 15,0 of 0,1,1,0:55,6 of 13,0 of 0,2 of 2,Terrance McKinney,L,0,6 of 14,2 of 5,0,0,4:16,4 of 12,2 of 2,0 of 0
"July 15, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Tucker Lutz,L,0,36 of 109,3 of 9,0,0,6:19,34 of 105,2 of 4,0 of 0,Melsik Baghdasaryan,W,0,64 of 108,0 of 0,0,0,0:42,50 of 88,11 of 16,3 of 4
"July 15, 2023",Women's Strawweight Bout,Method:KO/TKO,Round:1,Time:0:34,Viktoriia Dudakova,W,0,3 of 11,1 of 1,0,0,0:06,2 of 10,0 of 0,1 of 1,Istela Nunes,L,0,2 of 6,0 of 0,0,0,0:00,2 of 6,0 of 0,0 of 0
"July 15, 2023",Featherweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Austin Lingo,L,0,39 of 139,0 of 0,0,0,0:00,39 of 139,0 of 0,0 of 0,Melquizael Costa,W,0,100 of 220,3 of 8,1,0,2:44,93 of 209,6 of 9,1 of 2
"July 15, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Evan Elder,W,1,96 of 195,1 of 1,1,0,0:06,96 of 193,0 of 1,0 of 1,Genaro Valdez,L,1,64 of 236,0 of 0,0,0,0:00,62 of 231,2 of 5,0 of 0
"July 15, 2023",Flyweight Bout,Method:Decision - Split,Round:3,Time:5:00,Tyson Nam,L,0,81 of 213,0 of 0,0,0,0:30,79 of 209,2 of 4,0 of 0,Azat Maksum,W,0,46 of 189,2 of 11,0,0,0:22,46 of 183,0 of 6,0 of 0
"July 15, 2023",Lightweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Alexander Munoz,W,1,44 of 111,3 of 7,0,0,3:54,27 of 87,2 of 3,15 of 21,Carl Deaton,L,0,37 of 108,0 of 2,0,0,0:00,36 of 106,1 of 2,0 of 0
"July 15, 2023",Women's Bantamweight Bout,Method:Decision - Unanimous,Round:3,Time:5:00,Ashlee Evans-Smith,L,0,12 of 47,0 of 1,0,0,0:08,7 of 40,5 of 7,0 of 0,Ailin Perez,W,0,60 of 104,10 of 15,0,0,11:36,12 of 32,14 of 23,34 of 49
"July 08, 2023",UFC Featherweight Title Bout,Method:KO/TKO,Round:3,Time:4:19,Alexander Volkanovski,W,0,66 of 97,7 of 12,0,0,7:13,25 of 45,4 of 6,37 of 46,Yair Rodriguez,L,0,40 of 80,0 of 0,0,0,0:00,38 of 77,0 of 0,2 of 3
